algorithm_name,algorithm_type,scenario_name,makespan_mean,makespan_std,energy_mean,energy_std,efficiency_mean,efficiency_std,success_rate_mean,success_rate_std,execution_time_mean,execution_time_std
Random,heuristic,linear_abundant,2.140952249318187,1.016504089745187,0.572195109396625,0.12082939975742919,18.262264509140167,3.7985200774469843,0.3333333333333333,0.0,0.0002948760986328125,0.00012855324616195782
Min-Min,heuristic,linear_abundant,0.6587714394128839,0.09877859315399147,0.3881318590084343,0.09208366600606646,27.054551648263192,5.538733119497205,0.3333333333333333,0.0,0.00013103485107421876,5.043215178344062e-06
Max-Min,heuristic,linear_abundant,1.014556851848853,0.15275721227704847,0.5264890735300144,0.12735815733839093,19.985658962846006,4.209959482396912,0.3333333333333333,0.0,0.0001369476318359375,7.46764137055383e-06
HEFT,heuristic,linear_abundant,3.4558217361677017,0.2608925654493945,1.2796713616424786,0.28233359621641474,24.469896420477333,4.694745703320461,1.0,0.0,0.0003137111663818359,1.9156751085854214e-06
Power-Aware Min-Min,heuristic,linear_abundant,1.6185992553148103,0.4301398979886184,0.4948703703641669,0.07276728875992049,20.66612501961167,3.1394478725106696,0.33333333333333337,5.551115123125783e-17,0.0011170387268066406,3.0833486775099884e-05
Energy-Efficient HEFT,heuristic,linear_abundant,9.180818313531677,0.43075489620662233,0.9240503847514672,0.07474006369150889,32.66245233033311,2.4462357457690858,1.0,0.0,0.0004559755325317383,6.708210830106539e-06
Random,heuristic,parallel_bottleneck,51.15512143757879,23.490558125905462,4.2793756951448625,1.939899447238207,4.203429225605456,1.287218478577955,0.2633333333333333,0.09333333333333332,0.0007886409759521485,5.3446490220667306e-05
Min-Min,heuristic,parallel_bottleneck,36.19193172485003,7.635834697841063,4.27621474368471,0.7755652176813789,4.6777154902850615,0.8524218147416779,0.3233333333333333,0.019999999999999997,0.000415802001953125,3.64354764130079e-05
Max-Min,heuristic,parallel_bottleneck,70.13959851280279,27.266242365554348,8.395565138183244,2.647970889122993,2.7141806339441437,1.1566500154145851,0.32999999999999996,0.006666666666666665,0.0005684852600097656,3.103312495963524e-05
HEFT,heuristic,parallel_bottleneck,116.76034036672797,24.954700979546875,14.273460893680806,4.4253930986059355,3.914339007874458,0.8544314457119675,0.8933333333333333,0.20510160083886878,0.00020403861999511718,1.4438326793412485e-05
Power-Aware Min-Min,heuristic,parallel_bottleneck,77.65075833622413,35.07384779246776,5.656875604616351,2.2089354211038237,3.3635469504655084,0.8920060065248665,0.29,0.08602325267042626,0.0014652967453002929,0.0007283773394421095
Energy-Efficient HEFT,heuristic,parallel_bottleneck,184.79696550027603,70.96938662359535,19.143191538022243,8.169510744771934,3.59884994656865,1.2765289870952714,0.9866666666666667,0.030550504633038926,0.0002824306488037109,2.8369246294810487e-05
Random,heuristic,complex_heterogeneous,27.91496505731208,14.35121365571837,7.602956179539843,2.263544404384925,2.65860365891702,0.9395265365724658,0.36551538782452425,0.007900616303461163,0.0005056381225585938,4.513771871864642e-05
Min-Min,heuristic,complex_heterogeneous,3.2217245285153844,0.5417631498264789,1.6119305132060329,0.36169425082734086,11.86371040495516,2.5696287271285057,0.36551538782452425,0.007900616303461163,0.0003373146057128906,3.940919924411069e-05
Max-Min,heuristic,complex_heterogeneous,7.9398087343356565,1.3173537299389648,4.421417868599023,1.3103293397767133,4.536755392649152,1.4675173596837314,0.36551538782452425,0.007900616303461163,0.0003739833831787109,4.0245338637820474e-05
HEFT,heuristic,complex_heterogeneous,19.649163890763464,5.539394625491593,12.382894044379103,3.026880165561778,4.2653863544605874,0.9998973475672935,1.0,0.0,0.000607156753540039,0.0001282283831479221
Power-Aware Min-Min,heuristic,complex_heterogeneous,16.953116508767657,6.116730641876686,4.616283996901499,1.6610918181315555,4.650478026665212,2.1951663874856786,0.36551538782452425,0.007900616303461165,0.002949023246765137,0.0009267961705910407
Energy-Efficient HEFT,heuristic,complex_heterogeneous,43.01579991201692,13.908296726528883,8.339897969960095,2.686635397854439,6.607589151388245,2.0349835747393885,1.0,0.0,0.0008033037185668946,0.0001345836049294819
Random-DRL,drl,linear_abundant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036683082580566404,8.605392882273603e-05
Random-DRL,drl,parallel_bottleneck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004153251647949219,6.768417503521619e-05
Random-DRL,drl,complex_heterogeneous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042834281921386717,3.58125340645649e-05
